X,Y,SOCD (MgC/ha)
-99.94467363,27.55506629,19.92464526
-110.3369336,29.29098854,18.64102038
-109.3318887,27.83073818,18.64102038
-108.252252,29.19047955,18.64102038
-107.885868,28.6643183,18.64102038
-107.8501041,28.34487047,18.64102038
-107.3454877,24.85608193,18.64102038
-107.2361868,27.67242445,18.64102038
-107.2224971,28.31604049,18.64102038
-107.1535304,27.27572556,18.64102038
-107.1056473,28.81513793,18.64102038
-106.8019038,28.82809213,18.64102038
-106.5038012,28.28039668,18.64102038
-105.843749,27.51461417,18.64102038
-105.4037792,25.90662249,18.64102038
-103.9354726,25.86698242,18.64102038
-103.8992084,25.71342255,18.64102038
-103.3790132,23.7223555,18.64102038
-103.0706511,23.35198215,18.64102038
-102.2966822,23.02785479,18.64102038
-102.1363578,22.19528254,18.64102038
-102.0306094,22.5317553,18.64102038
-101.7274431,29.32881286,18.64102038
-101.1372192,26.15025459,18.64102038
-101.0283598,26.81109459,18.64102038
-100.7997762,26.38758432,18.64102038
-100.6112524,27.39629165,18.64102038
-100.2830914,27.40093868,18.64102038
-100.13464,26.96750724,18.64102038
-100.0941844,26.89264753,18.64102038
-100.0445482,27.562136,18.64102038
-99.94089079,26.63981467,18.64102038
-99.8405103,26.94786456,18.64102038
-99.23431079,25.92944518,18.64102038
-97.86633549,25.73239504,18.64102038
-105.2093799,24.60475297,17.78178085
-109.6360201,28.69784593,17.35111166
-109.2859944,27.74936351,17.35111166
-107.8895583,29.60024055,17.35111166
-107.6870688,28.77891663,17.35111166
-107.506797,28.14323739,17.35111166
-107.4218574,27.69236659,17.35111166
-106.9874565,28.17403214,17.35111166
-106.6891559,27.14914117,17.35111166
-102.9028539,24.90495822,17.35111166
-102.8238432,29.06745446,17.35111166
-102.1801918,22.38146886,17.35111166
-100.906988,22.6905625,17.35111166
-100.8897201,26.53827954,17.35111166
-100.862432,26.10702296,17.35111166
-100.8583853,26.78282219,17.35111166
-100.5123785,26.90808566,17.35111166
-111.0130336,30.60911378,16.05489632
-110.617985,28.81339211,16.05489632
-110.6010281,30.57092244,16.05489632
-110.3682124,28.81225407,16.05489632
-110.1849973,29.75409481,16.05489632
-109.7271545,29.95744904,16.05489632
-109.6932491,28.02065455,16.05489632
-109.6329686,28.03565579,16.05489632
-109.4548156,27.84227958,16.05489632
-109.1248985,28.66173721,16.05489632
-107.7359755,25.04249469,16.05489632
-107.5667112,24.6701112,16.05489632
-107.4643676,28.39411177,16.05489632
-107.441628,28.67500455,16.05489632
-107.045886,28.68271175,16.05489632
-106.8440807,28.52538035,16.05489632
-106.0255934,27.3356441,16.05489632
-105.1629396,25.07997024,16.05489632
-104.8237392,24.78738381,16.05489632
-104.5967522,24.16829844,16.05489632
-104.5049591,24.1460191,16.05489632
-104.2532385,25.16141535,16.05489632
-103.6617916,23.88695895,16.05489632
-103.0550068,23.81854622,16.05489632
-102.5606008,22.82614333,16.05489632
-102.2005337,22.30616764,16.05489632
-102.1559918,23.13360231,16.05489632
-101.8993194,22.25862086,16.05489632
-101.8324461,22.40527245,16.05489632
-101.6418635,22.15981733,16.05489632
-101.1736928,27.71368721,16.05489632
-101.0676018,27.46306163,16.05489632
-100.8695908,26.43116363,16.05489632
-100.6364417,27.20553722,16.05489632
-100.5491803,25.82460699,16.05489632
-99.98474346,27.49551469,16.05489632
-99.92710119,27.02005327,16.05489632
-99.87252318,27.6096935,16.05489632
-98.23498833,25.94129283,16.05489632
-92.538887,31.1680565,15.88158988
-108.9603136,27.11590197,15.18723778
-93.7363892,32.5940018,15.01336791
-110.5493307,28.81970074,14.75235148
-107.7802289,25.24413234,14.75235148
-106.7813124,27.71742993,14.75235148
-105.541006,26.05356749,14.75235148
-102.5696781,23.9289907,14.75235148
-98.65090179,33.51652145,14.75235148
-108.5680445,26.42829309,14.31675935
-93.7204437,32.8015556,13.83679177
-110.2088323,30.28969496,13.44345422
-110.1264436,28.98848748,13.44345422
-109.9524214,28.36952144,13.44345422
-109.7743113,30.12950635,13.44345422
-109.7632078,27.46224814,13.44345422
-109.6315508,27.38198169,13.44345422
-109.5782391,28.56590382,13.44345422
-109.2935326,29.92245216,13.44345422
-109.1565702,27.09902148,13.44345422
-108.4470086,26.37589225,13.44345422
-107.929121,25.51910976,13.44345422
-107.9238194,25.35567888,13.44345422
-107.913646,25.4132452,13.44345422
-107.7562981,25.02313521,13.44345422
-107.6340846,25.11877271,13.44345422
-107.5446586,28.61557412,13.44345422
-107.138818,24.48558424,13.44345422
-107.1240887,27.26822543,13.44345422
-106.6743696,27.03045901,13.44345422
-105.014571,24.91629322,13.44345422
-104.2778144,24.88098285,13.44345422
-104.147963,25.30116525,13.44345422
-103.7777732,25.42004634,13.44345422
-103.5892514,23.95658402,13.44345422
-103.428129,24.95557985,13.44345422
-103.0535784,24.81674704,13.44345422
-101.7017315,22.65620648,13.44345422
-101.3205588,27.03771056,13.44345422
-101.2215581,27.13238882,13.44345422
-101.2213129,26.53696619,13.44345422
-101.051638,26.42683342,13.44345422
-100.8800759,22.2937943,13.44345422
-100.7941554,22.38066119,13.44345422
-100.3253107,27.66420134,13.44345422
-100.1597473,27.61192101,13.44345422
-99.90475395,27.06792918,13.44345422
-98.17920244,26.00974806,13.44345422
-111.7427909,31.07631584,12.12818154
-111.6822544,31.22408412,12.12818154
-110.2099627,29.00245874,12.12818154
-109.3477679,27.50691341,12.12818154
-108.8495203,27.19747505,12.12818154
-107.9966046,27.86163823,12.12818154
-107.7857716,24.92108669,12.12818154
-107.4087863,24.55794385,12.12818154
-107.1941727,28.59427097,12.12818154
-106.6143608,27.8704178,12.12818154
-105.2914114,24.71090289,12.12818154
